Dia,Data,Máx,Min,Chuva
Domingo,18/09/2022,29.0,18.0,5.0
Segunda,19/09/2022,29.0,17.0,5.0
Terça,20/09/2022,27.0,17.0,5.0
Quarta,21/09/2022,28.0,18.0,5.0
Quinta,22/09/2022,27.0,18.0,5.0
Sexta,23/09/2022,28.0,18.0,5.0
Sábado,24/09/2022,28.0,18.0,5.0
Domingo,25/09/2022,27.0,17.0,5.0
