Dia,Data,Máx,Min,Chuva
Domingo,18/09/2022,32.0,21.0,5.0
Segunda,19/09/2022,32.0,23.0,5.0
Terça,20/09/2022,31.0,25.0,60.0
Quarta,21/09/2022,30.0,24.0,90.0
Quinta,22/09/2022,30.0,24.0,90.0
Sexta,23/09/2022,29.0,24.0,90.0
Sábado,24/09/2022,28.0,21.0,5.0
Domingo,25/09/2022,28.0,19.0,5.0
